Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Mike Leake,31,185.2,4.36,1.298,5.78,1.65,1.12
Marco Gonzales,29,166.2,4.0,1.224,7.85,1.73,0.92
James Paxton,28,160.1,3.76,1.098,11.69,2.36,1.29
Félix Hernández,28,155.2,5.55,1.4,7.25,3.42,1.57
Wade LeBlanc,27,162.0,3.72,1.179,7.22,2.22,1.33
