Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Chris Flexen,31,179.2,3.61,1.252,6.28,2.01,0.95
Yusei Kikuchi,29,157.0,4.41,1.318,9.34,3.55,1.55
Marco Gonzales,25,143.1,3.96,1.165,6.79,2.64,1.82
Logan Gilbert,24,119.1,4.68,1.173,9.67,2.12,1.28
Justus Sheffield,15,80.1,6.83,1.842,7.08,4.83,1.57
