Name,G,PA,H,2B,3B,HR,BB,SO
Dan Wilson,90,303,63,12,0,5,22,51
John Olerud,159,683,161,45,0,14,102,96
Mark McLemore,138,578,118,23,1,3,81,78
Álex Rodríguez,148,672,175,34,2,41,100,121
David Bell,133,512,112,24,2,11,42,66
Rickey Henderson,92,395,77,13,2,4,63,55
Mike Cameron,155,643,145,28,4,19,78,133
Jay Buhner,112,430,92,20,0,26,59,98
Edgar Martínez,153,665,180,31,0,37,96,95
Stan Javier,105,392,94,18,5,5,42,64
Carlos Guillén,90,328,74,15,2,7,28,53
Joe Oliver,69,219,53,13,1,10,14,38
Raúl Ibañez,92,156,32,8,0,2,14,25
Al Martin,42,145,31,2,4,4,8,31
Tom Lampkin,36,117,26,6,1,7,9,17
John Mabry,47,115,25,5,0,1,10,31
Charles Gipson,59,33,9,1,1,0,4,9
Robert Machado,8,15,3,0,0,1,1,4
Chris Widger,10,12,1,0,0,1,1,2
Brian Lesher,5,6,4,1,1,0,1,0
Anthony Sanders,1,1,1,0,0,0,0,0
Carlos Hernández,2,1,0,0,0,0,0,1
Freddy García,2,6,2,0,0,0,0,0
Paul Abbott,2,6,2,1,0,0,0,1
Aaron Sele,2,4,0,0,0,0,0,0
John Halama,2,3,1,0,0,0,0,1
Jamie Moyer,1,2,0,0,0,0,0,1
Frankie Rodriguez,1,1,0,0,0,0,0,1
José Paniagua,3,1,0,0,0,0,0,1
Robert Ramsay,1,0,0,0,0,0,0,0
Arthur Rhodes,5,0,0,0,0,0,0,0
Kazuhiro Sasaki,4,0,0,0,0,0,0,0
Brett Tomko,2,0,0,0,0,0,0,0
José Mesa,4,0,0,0,0,0,0,0
