Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Aaron Sele,34,211.2,4.51,1.394,5.84,3.15,0.72
John Halama,30,166.2,5.08,1.572,4.71,3.03,1.03
Paul Abbott,27,179.0,4.22,1.363,5.03,4.02,1.16
Jamie Moyer,26,154.0,5.49,1.468,5.73,3.1,1.29
Freddy García,20,124.1,3.91,1.416,5.73,4.64,1.16
