Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Luis Castillo,32,180.2,3.54,1.185,8.09,2.3,1.15
Bryan Woo,30,186.2,2.94,0.927,9.57,1.74,1.26
Logan Gilbert,25,131.0,3.44,1.031,11.89,2.13,1.37
George Kirby,23,126.0,4.21,1.19,9.79,2.07,1.07
Bryce Miller,18,90.1,5.68,1.406,7.39,3.4,1.7
