Name,G,PA,H,2B,3B,HR,BB,SO
Cal Raleigh,145,569,119,23,1,30,54,158
Ty France,158,665,147,32,0,12,43,117
Kolten Wong,67,216,32,6,0,2,16,46
J.P. Crawford,145,638,142,35,0,19,94,125
Eugenio Suárez,162,694,139,29,0,22,70,214
Jarred Kelenic,105,416,94,25,2,11,41,132
Julio Rodríguez,155,714,180,37,2,32,47,175
Teoscar Hernández,160,678,161,29,2,26,38,211
Mike Ford,83,251,50,6,0,16,24,81
José Caballero,104,280,51,9,1,4,28,66
Dylan Moore,67,165,30,9,1,7,16,56
Tom Murphy,47,159,42,12,0,8,10,44
Dominic Canzone,44,141,29,11,0,5,6,24
AJ Pollock,49,138,22,4,0,5,9,30
Josh Rojas,46,134,34,4,0,4,9,30
Sam Haggerty,52,108,23,3,1,1,15,17
Cade Marlowe,34,100,21,3,2,3,12,33
Taylor Trammell,22,56,6,0,0,3,9,22
Cooper Hummel,10,26,2,1,0,0,2,9
Tommy La Stella,12,24,4,1,0,0,3,5
Brian O'Keefe,8,21,2,2,0,0,2,7
Luis Torrens,5,8,2,2,0,0,0,1
Justin Topa,1,0,0,0,0,0,0,0
Andrés Muñoz,1,0,0,0,0,0,0,0
Paul Sewald,1,0,0,0,0,0,0,0
Tayler Saucedo,2,0,0,0,0,0,0,0
Penn Murfee,1,0,0,0,0,0,0,0
Ty Adcock,1,0,0,0,0,0,0,0
JB Bukauskas,1,0,0,0,0,0,0,0
Matt Brash,1,0,0,0,0,0,0,0
