Name,G,PA,H,2B,3B,HR,BB,SO
Rob Johnson,80,290,55,19,2,2,26,60
Russell Branyan,116,505,108,21,1,31,58,149
José López,153,653,167,42,0,25,24,69
Yuniesky Betancourt,63,245,56,10,1,2,10,18
Adrian Beltré,111,477,119,27,0,8,19,74
Wladimir Balentien,56,170,33,10,0,4,13,43
Franklin Gutierrez,153,629,160,24,1,18,46,122
Ichiro Suzuki,146,678,225,31,4,11,32,71
Ken Griffey Jr.,117,454,83,19,0,19,63,80
Mike Sweeney,74,266,68,15,0,8,17,31
Kenji Johjima,71,258,59,11,0,9,12,28
Ronny Cedeño,59,206,31,4,2,5,10,50
Endy Chávez,54,182,44,3,1,2,14,22
Jack Hannahan,51,167,34,8,0,3,17,35
Josh Wilson,45,138,32,8,1,3,6,32
Bill Hall,34,131,24,8,1,2,8,48
Michael Saunders,46,129,27,1,3,0,6,40
Ryan Langerhans,38,122,22,6,1,3,14,28
Jack Wilson,31,116,24,5,0,1,6,17
Chris Woodward,20,74,16,1,0,0,5,15
Mike Carp,21,65,17,3,1,1,8,10
Jamie Burke,13,43,5,0,0,1,2,13
Chris Shelton,9,28,6,2,0,0,2,11
Matt Tuiasosopo,7,25,5,1,0,1,2,5
Adam Moore,6,24,5,1,0,1,0,7
Guillermo Quiroz,4,15,4,0,0,0,0,3
Félix Hernández,2,7,0,0,0,0,1,3
Garrett Olson,2,4,0,0,0,0,0,2
Jason Vargas,2,4,1,0,0,0,0,2
Jarrod Washburn,1,3,0,0,0,0,0,2
Brandon Morrow,3,2,0,0,0,0,0,1
Chris Jakubauskas,2,2,0,0,0,0,0,1
Miguel Batista,5,1,0,0,0,0,0,1
Sean White,3,0,0,0,0,0,0,0
Roy Corcoran,3,0,0,0,0,0,0,0
David Aardsma,3,0,0,0,0,0,0,0
Mark Lowe,4,0,0,0,0,0,0,0
