Name,G,PA,H,2B,3B,HR,BB,SO
Tom Murphy,97,325,56,8,0,11,40,99
Ty France,152,650,166,32,1,18,46,106
Abraham Toro,60,253,57,11,0,5,22,33
J.P. Crawford,160,687,169,37,0,9,58,114
Kyle Seager,159,670,128,29,1,35,59,161
Jake Fraley,78,265,45,7,0,9,46,71
Jarred Kelenic,93,377,61,13,1,14,36,106
Mitch Haniger,157,691,157,23,2,39,54,169
Luis Torrens,108,378,84,16,2,15,28,99
Dylan Moore,126,377,60,11,2,12,40,111
Jake Bauers,72,202,40,4,0,2,18,51
Taylor Trammell,51,178,25,7,0,8,17,75
Cal Raleigh,47,148,25,12,0,2,7,52
Kyle Lewis,36,147,32,4,0,5,16,37
José Marmolejos,41,122,17,4,0,4,15,39
Shed Long Jr.,34,121,22,4,1,4,9,39
Evan White,30,104,14,3,0,2,6,31
Sam Haggerty,35,94,16,3,0,2,6,28
Donovan Walton,24,69,13,2,1,2,4,15
José Godoy,16,40,6,1,0,0,3,14
Jack Mayfield,11,35,6,1,0,0,1,10
Jacob Nottingham,10,31,3,0,0,1,2,12
Eric Campbell,4,12,3,0,0,0,1,1
Dillon Thomas,4,9,1,0,0,0,0,7
Braden Bishop,8,5,1,0,0,0,0,2
Kevin Padlo,1,1,0,0,0,0,0,1
Marco Gonzales,2,4,0,0,0,0,0,2
Chris Flexen,2,3,0,0,0,0,0,0
Tyler Anderson,1,3,0,0,0,0,1,2
Justin Dunn,2,3,1,1,0,0,0,2
Justus Sheffield,2,2,1,0,0,0,0,1
Darren McCaughan,1,2,0,0,0,0,0,0
Yusei Kikuchi,1,2,0,0,0,0,0,2
Diego Castillo,1,0,0,0,0,0,0,0
Drew Steckenrider,4,0,0,0,0,0,0,0
Erik Swanson,4,0,0,0,0,0,0,0
JT Chargois,4,0,0,0,0,0,0,0
Robert Dugger,1,0,0,0,0,0,0,0
Will Vest,1,0,0,0,0,0,0,0
Matt Andriese,2,0,0,0,0,0,0,0
Paul Sewald,6,0,0,0,0,0,0,0
Sean Doolittle,1,0,0,0,0,0,0,0
Casey Sadler,1,0,0,0,0,0,0,0
Yohan Ramírez,4,0,0,0,0,0,0,0
Aaron Fletcher,2,0,0,0,0,0,0,0
Rafael Montero,1,0,0,0,0,0,0,0
Anthony Misiewicz,3,0,0,0,0,0,0,0
Wyatt Mills,3,0,0,0,0,0,0,0
Keynan Middleton,2,0,0,0,0,0,0,0
Kendall Graveman,3,0,0,0,0,0,0,0
