Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Jamie Moyer,33,215.0,3.27,1.233,5.4,2.76,0.8
Freddy García,33,201.1,4.51,1.326,6.44,3.18,1.39
Ryan Franklin,32,212.0,3.57,1.226,4.2,2.59,1.44
Joel Piñeiro,32,211.2,3.78,1.266,6.43,3.24,0.81
Gil Meche,32,186.1,4.59,1.342,6.29,3.05,1.45
