Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Félix Hernández,34,238.2,2.49,1.135,8.2,2.68,0.57
Jarrod Washburn,20,133.0,2.64,1.068,5.35,2.23,0.74
Ryan Rowland-Smith,15,96.1,3.74,1.183,4.87,2.53,0.84
Érik Bédard,15,83.0,2.82,1.193,9.76,3.69,0.87
Jason Vargas,14,91.2,4.91,1.331,5.33,2.37,1.58
