Name,G,PA,H,2B,3B,HR,BB,SO
Dan Wilson,119,440,111,22,3,9,33,63
Tino Martinez,141,593,152,35,3,31,62,91
Joey Cora,120,487,127,19,2,3,37,31
Luis Sojo,102,370,98,18,2,7,23,19
Mike Blowers,134,498,113,24,1,23,53,128
Vince Coleman,40,176,47,10,2,1,10,32
Ken Griffey Jr.,72,314,67,7,0,17,52,53
Jay Buhner,126,539,123,23,0,40,60,120
Edgar Martínez,145,639,182,52,0,29,116,87
Alex Diaz,103,292,67,14,0,3,13,27
Rich Amaral,90,261,67,14,2,2,21,33
Félix Fermín,73,219,39,6,0,0,6,6
Darren Bragg,52,170,34,5,1,3,18,37
Doug Strange,74,169,42,9,2,2,10,25
Álex Rodríguez,48,149,33,6,2,5,6,42
Marc Newfield,24,89,16,3,0,3,3,16
Warren Newson,33,88,21,2,0,2,16,18
Chad Kreuter,26,83,17,5,0,1,5,22
Chris Widger,23,49,9,0,0,1,3,11
Gary Thurman,13,27,8,2,0,0,1,3
Greg Pirkl,10,18,4,0,0,0,1,7
Arquimedez Pozo,1,1,0,0,0,0,0,0
