Name,G,PA,H,2B,3B,HR,BB,SO
Dan Wilson,96,368,82,17,1,9,24,56
David Segui,143,580,159,36,1,19,49,80
Joey Cora,131,598,147,23,6,6,62,50
Álex Rodríguez,161,748,213,35,5,42,45,121
Russ Davis,141,550,130,30,1,20,34,134
Glenallen Hill,74,277,75,20,2,12,14,45
Ken Griffey Jr.,161,720,180,33,3,56,76,121
Jay Buhner,72,286,59,7,1,15,38,71
Edgar Martínez,154,672,179,46,1,29,106,96
Rob Ducey,97,250,52,18,2,5,23,61
Shane Monahan,62,223,51,8,1,4,8,53
John Marzano,50,153,31,7,1,4,9,24
Rich Amaral,73,149,37,6,0,1,13,24
Raúl Ibañez,37,103,25,7,1,2,5,22
Joe Oliver,29,97,19,3,0,2,10,15
Rico Rossy,37,89,16,6,0,1,6,13
David Bell,21,85,26,8,0,0,5,8
Ryan Radmanovich,25,75,15,4,0,2,4,25
Charles Gipson,44,57,12,1,0,0,5,9
Jeff Huson,31,54,8,1,0,1,5,6
Rick Wilkins,19,46,8,1,1,1,4,14
Carlos Guillén,10,42,13,1,1,0,3,9
Robert Pérez,17,35,6,1,0,2,0,5
Dave McCarty,8,23,5,0,0,1,5,4
Giomar Guevara,11,18,3,2,0,0,4,4
Rickey Cradle,5,8,1,0,0,0,1,5
Raúl Chávez,1,1,0,0,0,0,0,0
Randy Johnson,2,7,1,0,0,0,0,2
Bill Swift,2,5,0,0,0,0,0,2
Ken Cloude,2,3,0,0,0,0,0,0
Jeff Fassero,1,3,0,0,0,0,0,2
Jamie Moyer,1,2,0,0,0,0,0,0
Bobby Ayala,4,0,0,0,0,0,0,0
Heathcliff Slocumb,4,0,0,0,0,0,0,0
Paul Spoljaric,6,0,0,0,0,0,0,0
Greg McCarthy,2,0,0,0,0,0,0,0
Mike Timlin,3,0,0,0,0,0,0,0
Bob Wells,1,0,0,0,0,0,0,0
