Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Hisashi Iwakuma,33,199.0,4.12,1.327,6.65,2.08,1.27
Félix Hernández,25,153.1,3.82,1.324,7.17,3.82,1.12
Taijuan Walker,25,134.1,4.22,1.236,7.99,2.48,1.81
James Paxton,20,121.0,3.79,1.306,8.7,1.79,0.67
Wade Miley,19,112.0,4.98,1.348,6.59,2.73,1.45
