Name,G,PA,H,2B,3B,HR,BB,SO
Dan Wilson,103,359,80,13,0,2,26,57
John Olerud,78,312,64,13,1,5,40,41
Bret Boone,148,658,149,30,0,24,56,135
Rich Aurilia,73,292,63,13,0,4,22,43
Scott Spiezio,112,415,79,12,3,10,36,60
Raúl Ibañez,123,524,146,31,1,16,36,72
Randy Winn,157,703,179,34,6,14,53,98
Ichiro Suzuki,161,762,262,24,5,8,49,63
Edgar Martínez,141,549,128,23,0,12,58,107
Jolbert Cabrera,113,391,97,19,2,6,16,70
José López,57,218,48,13,0,5,8,31
Willie Bloomquist,93,201,46,10,0,2,10,48
Bucky Jacobsen,42,176,44,9,0,9,14,47
Miguel Olivo,50,173,32,8,2,6,10,55
Justin Leone,31,115,22,5,0,6,9,32
Hiram Bocachica,50,107,22,5,0,3,12,27
Dave Hansen,57,97,22,5,0,2,18,16
Jeremy Reed,18,66,23,4,0,0,7,4
Greg Dobbs,18,56,12,1,0,1,1,14
Pat Borders,19,55,10,2,0,1,1,12
Ramón Santiago,19,45,7,1,0,0,3,3
Ben Davis,14,37,3,0,0,0,3,9
Quinton McCracken,19,23,3,0,0,0,2,4
Mickey Lopez,6,6,1,0,0,0,1,0
René Rivera,2,3,0,0,0,0,0,1
Ryan Franklin,2,5,0,0,0,0,1,2
Joel Piñeiro,2,5,1,1,0,0,0,1
Freddy García,2,4,0,0,0,0,0,3
Jamie Moyer,2,2,1,0,0,0,0,1
Clint Nageotte,1,2,0,0,0,0,0,2
Eddie Guardado,4,1,0,0,0,0,0,0
Ron Villone,3,0,0,0,0,0,0,0
Shigetoshi Hasegawa,4,0,0,0,0,0,0,0
Matt Thornton,1,0,0,0,0,0,0,0
Aaron Taylor,1,0,0,0,0,0,0,0
J.J. Putz,3,0,0,0,0,0,0,0
Mike Myers,5,0,0,0,0,0,0,0
Julio Mateo,4,0,0,0,0,0,0,0
