Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Félix Hernández,34,236.0,2.14,0.915,9.46,1.75,0.61
Chris Young,29,165.0,3.65,1.23,5.89,3.27,1.42
Roenis Elías,29,163.2,3.85,1.314,7.89,3.53,0.88
Hisashi Iwakuma,28,179.0,3.52,1.05,7.74,1.06,1.01
Erasmo Ramírez,14,75.1,5.26,1.54,7.19,4.07,1.56
