Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Sterling Hitchcock,35,196.2,5.35,1.617,6.06,3.35,1.24
Bob Wolcott,28,149.1,5.73,1.56,4.71,3.26,1.57
Bob Wells,16,130.2,5.3,1.431,6.5,3.18,1.73
Matt Wagner,14,80.0,6.86,1.613,4.61,4.27,1.69
Terry Mulholland,12,69.1,4.67,1.486,4.43,3.65,0.65
