Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Jamie Moyer,34,230.2,3.32,1.075,5.75,1.95,1.09
Freddy García,34,223.2,4.39,1.297,7.3,2.54,1.21
Joel Piñeiro,28,194.1,3.24,1.25,6.31,2.5,1.11
James Baldwin,23,150.0,5.28,1.52,5.28,2.94,1.56
Ryan Franklin,12,118.2,4.02,1.171,4.95,1.68,1.07
