Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Logan Gilbert,33,208.2,3.23,0.887,9.51,1.6,1.12
George Kirby,33,191.0,3.53,1.068,8.43,1.08,1.04
Bryce Miller,31,180.1,2.94,0.976,8.55,2.25,1.05
Luis Castillo,30,175.1,3.64,1.169,8.99,2.42,1.28
Bryan Woo,22,121.1,2.89,0.898,7.51,0.97,1.04
