Name,G,PA,H,2B,3B,HR,BB,SO
Dave Valle,94,355,75,10,3,7,29,32
Alvin Davis,142,611,152,30,1,21,101,49
Harold Reynolds,153,677,184,24,9,0,55,45
Omar Vizquel,143,431,85,7,3,1,28,40
Jim Presley,117,417,92,20,1,12,21,107
Greg Briley,115,444,105,22,4,13,39,82
Ken Griffey Jr.,127,506,120,23,0,16,44,83
Darnell Coles,146,574,135,21,3,10,27,61
Jeffrey Leonard,150,621,144,20,1,24,38,125
Henry Cotto,100,310,78,11,2,9,12,44
Scott Bradley,103,299,74,16,0,3,21,23
Jay Buhner,58,226,56,15,1,9,19,55
Edgar Martínez,65,196,41,5,0,2,17,26
Dave Cochrane,54,117,24,4,1,3,14,27
Mickey Brantley,34,117,17,5,0,0,7,7
Mario Díaz,52,86,10,0,0,1,7,7
Mike Kingery,31,84,17,3,0,2,7,14
Bill McGuire,14,30,5,0,0,1,2,6
Rey Quiñones,7,22,2,0,0,0,1,1
Jim Wilson,5,8,0,0,0,0,0,3
Bruce Fields,3,3,1,1,0,0,0,1
Gene Harris,1,0,0,0,0,0,0,0
