Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Luis Castillo,33,197.0,3.34,1.096,10.01,2.56,1.28
Logan Gilbert,32,190.2,3.73,1.075,8.94,1.7,1.37
George Kirby,31,190.2,3.35,1.038,8.14,0.9,1.04
Bryce Miller,25,131.1,4.32,1.142,8.17,1.78,1.24
Bryan Woo,18,87.2,4.21,1.209,9.6,3.2,1.34
