Name,G,PA,H,2B,3B,HR,BB,SO
Chris Iannetta,94,338,62,14,0,7,38,83
Adam Lind,126,430,96,17,0,20,26,89
Robinson Canó,161,715,195,33,2,39,47,100
Ketel Marte,119,466,113,21,2,1,18,84
Kyle Seager,158,676,166,36,3,30,69,108
Nori Aoki,118,467,118,24,4,4,34,45
Leonys Martín,143,576,128,17,3,15,44,149
Seth Smith,137,438,94,15,0,16,48,89
Nelson Cruz,155,667,169,27,1,43,62,159
Dae-ho Lee,104,317,74,9,0,14,20,74
Franklin Gutierrez,98,283,61,9,0,14,29,85
Shawn O'Malley,89,232,48,9,2,2,18,59
Mike Zunino,55,192,34,7,0,12,21,65
Guillermo Heredia,45,107,23,3,0,1,12,15
Luis Sardiñas,32,77,13,0,0,2,1,25
Steve Clevenger,22,76,15,3,0,1,8,14
Ben Gamel,27,47,8,2,0,1,5,15
Jesús Sucre,9,29,12,2,0,1,2,5
Daniel Robertson,9,21,5,1,0,0,1,3
Stefen Romero,9,19,4,1,0,0,1,4
Mike Freeman,13,13,5,1,0,0,0,2
Daniel Vogelbach,8,13,1,0,0,0,1,6
Chris Taylor,2,3,1,0,0,0,0,2
Félix Hernández,3,8,0,0,0,0,0,3
Wade Miley,3,7,1,0,0,0,0,1
James Paxton,2,4,0,0,0,0,1,3
Hisashi Iwakuma,2,3,0,0,0,0,0,1
Joel Peralta,3,1,0,0,0,0,0,0
Edwin Díaz,3,1,0,0,0,0,0,0
Nate Karns,2,1,0,0,0,0,0,0
Nick Vincent,4,0,0,0,0,0,0,0
Tom Wilhelmsen,3,0,0,0,0,0,0,0
Joaquin Benoit,2,0,0,0,0,0,0,0
Drew Storen,2,0,0,0,0,0,0,0
Steve Cishek,6,0,0,0,0,0,0,0
David Rollins,1,0,0,0,0,0,0,0
Vidal Nuño III,4,0,0,0,0,0,0,0
Mike Montgomery,4,0,0,0,0,0,0,0
Cody Martin,2,0,0,0,0,0,0,0
Steve Johnson,1,0,0,0,0,0,0,0
