Name,G,PA,H,2B,3B,HR,BB,SO
Mike Zunino,113,405,75,18,0,20,24,150
Ryon Healy,133,524,116,15,0,24,27,113
Dee Strange-Gordon,141,588,149,17,8,4,9,80
Jean Segura,144,632,178,29,3,10,32,69
Kyle Seager,155,630,129,36,1,22,38,138
Denard Span,94,328,80,15,6,7,23,55
Guillermo Heredia,125,337,69,14,1,5,32,52
Mitch Haniger,157,683,170,38,4,26,70,148
Nelson Cruz,144,591,133,18,1,37,55,122
Robinson Canó,80,348,94,22,0,10,32,47
Ben Gamel,101,293,70,14,4,1,31,61
Andrew Romine,72,131,25,2,1,0,7,39
David Freitas,36,106,20,6,0,1,8,25
Daniel Vogelbach,37,102,18,2,0,4,13,26
Cameron Maybin,30,97,22,2,1,1,6,20
Chris Herrmann,36,87,18,4,2,2,10,24
Gordon Beckham,22,50,8,1,0,0,4,11
Ichiro Suzuki,15,47,9,0,0,0,3,7
Kristopher Negrón,18,30,6,0,0,1,1,9
Mike Marjama,10,29,3,3,0,0,2,6
Taylor Motter,7,17,4,0,0,1,2,5
John Andreoli,3,6,1,0,0,0,1,2
Zach Vincej,1,4,2,0,0,0,0,1
Mike Leake,2,4,0,0,0,0,0,4
Wade LeBlanc,3,4,1,0,0,0,0,2
Félix Hernández,2,4,0,0,0,0,0,0
Erasmo Ramírez,2,3,0,0,0,0,0,2
Marco Gonzales,1,3,0,0,0,0,0,2
Christian Bergman,1,2,1,0,0,0,0,0
Roenis Elías,3,2,1,0,0,0,0,1
Shawn Armstrong,1,0,0,0,0,0,0,0
Mike Morin,1,0,0,0,0,0,0,0
Adam Warren,1,0,0,0,0,0,0,0
Nick Vincent,4,0,0,0,0,0,0,0
Alex Colomé,3,0,0,0,0,0,0,0
Edwin Díaz,4,0,0,0,0,0,0,0
Zach Duke,1,0,0,0,0,0,0,0
Matt Festa,1,0,0,0,0,0,0,0
James Pazos,2,0,0,0,0,0,0,0
Juan Nicasio,3,0,0,0,0,0,0,0
Casey Lawrence,2,0,0,0,0,0,0,0
