Name,G,PA,H,2B,3B,HR,BB,SO
Bob Stinson,105,348,80,11,1,8,37,50
Dan Meyer,159,642,159,24,4,22,43,51
José Báez,91,333,79,14,1,1,19,20
Craig Reynolds,135,455,104,12,3,4,15,23
Bill Stein,151,600,144,26,5,13,29,79
Steve Braun,139,544,106,19,1,5,80,59
Ruppert Jones,160,664,157,26,8,24,55,120
Leroy Stanton,133,505,125,24,1,27,42,115
Juan Bernhardt,89,317,74,9,2,7,5,26
Dave Collins,120,447,96,9,3,5,33,66
Carlos López,99,319,84,18,1,8,14,61
Larry Milbourne,86,263,53,10,0,2,6,20
Julio Cruz,60,230,51,3,1,1,24,29
Skip Jutze,42,118,24,2,0,3,7,12
Larry Cox,35,104,23,6,0,2,10,12
Jimmy Sexton,14,40,8,1,1,1,2,6
Ray Fosse,11,36,12,3,0,0,2,2
Tommy Smith,21,27,7,1,1,0,0,6
Luis Delgado,13,23,4,0,0,0,1,8
Kevin Pasley,4,15,5,0,0,0,1,2
Joe Lis,9,14,3,0,0,0,1,2
Tom McMillan,2,5,0,0,0,0,0,0
Enrique Romo,1,0,0,0,0,0,0,0
