Name,G,PA,H,2B,3B,HR,BB,SO
Dan Wilson,146,563,137,31,1,15,39,72
Paul Sorrento,146,513,123,19,0,31,51,112
Joey Cora,149,649,172,40,4,11,53,49
Álex Rodríguez,141,638,176,40,3,23,41,99
Russ Davis,119,455,114,29,1,20,27,100
José Cruz,49,198,49,12,1,12,13,45
Ken Griffey Jr.,157,704,185,34,3,56,76,121
Jay Buhner,157,665,131,18,2,40,119,175
Edgar Martínez,155,678,179,35,1,28,119,86
Rich Amaral,89,210,54,5,0,1,10,34
Mike Blowers,68,177,44,5,0,5,21,33
Brent Gates,65,170,36,8,0,3,14,21
Rob Ducey,76,151,41,15,2,5,6,31
Lee Tinsley,49,133,24,6,2,0,11,34
Roberto Kelly,30,129,36,7,0,7,5,17
Andy Sheets,32,102,22,3,0,4,7,34
John Marzano,39,96,25,3,0,1,7,15
Álvaro Espinoza,33,78,13,1,0,0,2,12
Raúl Ibañez,11,26,4,0,1,1,0,6
Rick Wilkins,5,14,3,1,0,1,1,2
Dan Rohrmeier,7,11,3,0,0,0,2,4
Brian Raabe,2,4,0,0,0,0,1,2
Giomar Guevara,5,4,0,0,0,0,0,2
Jeff Fassero,2,5,1,0,0,0,0,2
Jamie Moyer,1,3,1,0,0,0,0,0
Derek Lowe,2,2,0,0,0,0,0,1
Omar Olivares,1,2,1,0,0,0,0,1
Ken Cloude,1,2,0,0,0,0,0,0
Josías Manzanillo,2,1,0,0,0,0,0,0
Bob Wells,3,1,0,0,0,0,1,0
Bob Wolcott,1,1,0,0,0,0,0,0
Mike Timlin,2,0,0,0,0,0,0,0
Heathcliff Slocumb,2,0,0,0,0,0,0,0
Scott Sanders,1,0,0,0,0,0,0,0
Greg McCarthy,1,0,0,0,0,0,0,0
Norm Charlton,4,0,0,0,0,0,0,0
Bobby Ayala,4,0,0,0,0,0,0,0
