Name,G,PA,H,2B,3B,HR,BB,SO
Dave Valle,124,410,88,16,1,9,27,58
Tino Martinez,136,513,118,19,2,16,42,77
Harold Reynolds,140,521,113,23,3,3,45,41
Omar Vizquel,136,527,142,20,4,0,32,38
Edgar Martínez,135,592,181,46,3,18,54,61
Kevin Mitchell,99,402,103,24,0,9,35,46
Ken Griffey Jr.,142,617,174,39,4,27,44,67
Jay Buhner,152,629,132,16,3,25,71,146
Pete O'Brien,134,444,88,15,1,14,40,27
Henry Cotto,108,313,76,11,1,5,14,49
Lance Parrish,69,214,45,11,1,8,19,48
Greg Briley,86,207,55,10,0,5,4,31
Dave Cochrane,65,167,38,5,0,2,12,34
Bret Boone,33,135,25,4,0,4,4,34
Rich Amaral,35,109,24,3,0,1,5,16
Shane Turner,34,87,20,5,0,0,9,15
Mike Blowers,31,80,14,3,0,1,6,20
Jeff Schaefer,65,79,8,2,0,1,2,10
Dann Howitt,13,43,10,4,1,1,3,5
John Moses,21,29,3,1,0,0,5,4
Matt Sinatro,18,28,3,0,0,0,0,5
Bill Haselman,8,19,5,0,0,0,0,7
Bert Heffernan,8,11,1,1,0,0,0,1
Pat Lennon,1,2,0,0,0,0,0,0
Scott Bradley,2,2,0,0,0,0,1,1
Jeff Nelson,1,0,0,0,0,0,0,0
Rich DeLucia,1,0,0,0,0,0,0,0
Dennis Powell,1,0,0,0,0,0,0,0
Jim Acker,1,0,0,0,0,0,0,0
