Name,G,PA,H,2B,3B,HR,BB,SO
Rick Sweet,93,267,55,9,0,1,13,26
Pat Putnam,144,517,126,23,2,19,39,57
Tony Bernazard,80,347,80,18,1,6,38,52
Spike Owen,80,340,60,11,3,2,24,44
Jamie Allen,86,313,61,10,0,4,33,52
Steve Henderson,121,484,128,32,3,10,44,82
Dave Henderson,137,521,130,24,5,17,28,93
Al Cowens,110,384,73,19,2,7,23,38
Richie Zisk,90,318,69,12,0,12,30,61
Ricky Nelson,98,311,74,13,3,5,17,50
Ron Roenicke,59,237,50,12,0,4,33,22
Todd Cruz,65,228,41,4,2,7,7,56
Manny Castillo,90,216,42,6,3,0,7,20
Julio Cruz,61,206,46,10,1,2,20,22
Orlando Mercado,66,197,35,11,2,1,14,27
Ken Phelps,50,144,30,4,1,7,13,25
John Moses,93,143,27,4,1,0,12,20
Domingo Ramos,53,136,36,4,0,2,7,12
Jamie Nelson,40,111,21,3,0,1,13,12
Darnell Coles,27,100,26,7,0,1,7,12
Al Chambers,31,85,14,3,0,1,18,20
Phil Bradley,23,77,18,2,0,0,8,5
Jim Maler,26,73,12,1,0,1,5,11
Dave Edler,29,72,12,1,1,1,5,11
Harold Reynolds,20,63,12,4,1,0,2,9
Rod Allen,11,12,2,0,0,0,0,1
Terry Bulling,5,5,0,0,0,0,0,0
Gaylord Perry,1,0,0,0,0,0,0,0
Bill Caudill,2,0,0,0,0,0,0,0
Bob Stoddard,1,0,0,0,0,0,0,0
Ed Vande Berg,1,0,0,0,0,0,0,0
