Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Jeff Fassero,35,234.1,3.61,1.323,7.27,3.23,0.81
Jamie Moyer,30,188.2,3.86,1.219,5.4,2.06,1.0
Randy Johnson,29,213.0,2.28,1.052,12.3,3.25,0.85
Bob Wolcott,18,100.0,6.03,1.58,5.22,2.61,1.98
Omar Olivares,12,62.1,5.49,1.749,4.2,4.06,1.45
