Name,G,PA,H,2B,3B,HR,BB,SO
Cal Raleigh,119,415,78,20,1,27,38,122
Ty France,140,613,151,27,1,20,35,94
Adam Frazier,156,602,129,22,4,3,46,73
J.P. Crawford,145,603,126,24,3,6,68,80
Eugenio Suárez,150,629,128,24,2,31,73,196
Jesse Winker,136,547,100,15,0,14,84,103
Julio Rodríguez,132,560,145,25,3,28,40,145
Mitch Haniger,57,247,55,8,0,11,20,65
Carlos Santana,79,294,49,8,0,15,35,60
Abraham Toro,109,352,60,13,1,10,22,65
Dylan Moore,104,255,46,11,2,6,34,75
Sam Haggerty,83,201,45,9,1,5,18,53
Jarred Kelenic,54,181,23,5,1,7,16,61
Luis Torrens,55,166,34,2,0,3,12,50
Taylor Trammell,43,117,20,9,0,4,13,33
Kyle Lewis,18,62,8,0,0,3,5,19
Justin Upton,17,57,6,1,0,1,6,23
Curt Casali,16,50,5,1,0,1,9,14
Tom Murphy,14,42,10,2,0,1,8,13
Mike Ford,16,38,5,1,0,0,8,12
Jake Lamb,16,34,5,1,0,1,3,14
Steven Souza Jr.,6,19,3,0,0,0,0,8
Kevin Padlo,6,11,2,1,0,0,1,5
Marcus Wilson,3,6,1,0,0,0,1,4
Brian O'Keefe,2,4,1,0,0,0,1,2
Andrew Knapp,2,4,0,0,0,0,0,3
Stuart Fairchild,3,3,0,0,0,0,0,2
Drew Ellis,1,3,1,0,0,0,0,1
Travis Jankowski,1,1,0,0,0,0,0,1
Jack Larsen,1,1,0,0,0,0,0,1
Donovan Walton,1,0,0,0,0,0,0,0
Diego Castillo,2,0,0,0,0,0,0,0
Drew Steckenrider,1,0,0,0,0,0,0,0
Paul Sewald,3,0,0,0,0,0,0,0
Wyatt Mills,1,0,0,0,0,0,0,0
Penn Murfee,1,0,0,0,0,0,0,0
Matt Brash,1,0,0,0,0,0,0,0
