Name,G,PA,H,2B,3B,HR,BB,SO
Mike Zunino,131,476,87,20,2,22,17,158
Logan Morrison,99,365,88,20,0,11,24,59
Robinson Canó,157,665,187,37,2,14,61,68
Brad Miller,123,411,81,15,4,10,34,95
Kyle Seager,159,654,158,27,4,25,52,118
Dustin Ackley,143,542,123,27,4,14,32,90
James Jones,108,328,78,9,5,0,12,67
Michael Saunders,78,263,63,11,3,8,26,59
Corey Hart,68,255,47,9,0,6,16,59
Justin Smoak,80,276,50,13,0,7,24,66
Endy Chávez,80,258,64,12,2,2,15,30
Kendrys Morales,59,239,44,9,0,7,21,41
Austin Jackson,54,236,51,5,1,0,12,59
Stefen Romero,72,190,34,6,2,3,4,48
Chris Taylor,47,151,39,8,0,0,11,39
Willie Bloomquist,47,139,37,6,0,1,4,32
Abraham Almonte,27,113,21,5,1,1,6,40
John Buck,27,92,19,2,0,1,8,24
Chris Denorfia,32,90,16,2,1,2,7,19
Cole Gillespie,34,78,18,2,0,1,6,13
Jesús Sucre,21,64,13,2,0,0,0,17
Nick Franklin,17,52,6,0,1,0,3,21
Jesús Montero,6,17,4,0,0,1,0,3
Humberto Quintero,3,2,0,0,0,0,0,1
Hisashi Iwakuma,2,6,0,0,0,0,1,3
Roenis Elías,2,4,0,0,0,0,0,1
Félix Hernández,1,3,0,0,0,0,0,0
Erasmo Ramírez,2,3,0,0,0,0,0,1
Brandon Maurer,2,2,0,0,0,0,0,0
James Paxton,1,2,0,0,0,0,0,1
Chris Young,1,1,0,0,0,0,0,0
Joe Beimel,4,0,0,0,0,0,0,0
Tom Wilhelmsen,5,0,0,0,0,0,0,0
Danny Farquhar,5,0,0,0,0,0,0,0
Fernando Rodney,7,0,0,0,0,0,0,0
Charlie Furbush,6,0,0,0,0,0,0,0
Yoervis Medina,4,0,0,0,0,0,0,0
Dominic Leone,4,0,0,0,0,0,0,0
