Name,G,PA,H,2B,3B,HR,BB,SO
Kenji Johjima,135,513,139,29,0,14,15,41
Richie Sexson,121,491,89,21,0,21,51,100
José López,149,561,132,17,2,11,20,64
Yuniesky Betancourt,155,559,155,38,2,9,15,48
Adrian Beltré,149,639,164,41,2,26,38,104
Raúl Ibañez,149,636,167,35,5,21,53,97
Ichiro Suzuki,161,736,238,22,7,6,49,77
José Guillén,153,659,172,28,2,23,41,118
José Vidro,147,625,172,26,0,6,63,57
Ben Broussard,99,264,66,10,0,7,17,50
Willie Bloomquist,91,188,48,3,0,2,10,35
Jamie Burke,50,129,34,8,0,1,7,17
Adam Jones,41,71,16,2,1,2,4,21
Jason Ellison,63,48,13,0,0,0,1,12
Mike Morse,9,20,8,2,0,0,1,4
Jeff Clement,9,19,6,1,0,2,3,3
Jeremy Reed,13,17,3,0,1,0,0,3
Nick Green,6,7,0,0,0,0,0,3
Wladimir Balentien,3,4,2,1,0,1,0,0
Rob Johnson,6,3,1,0,0,0,0,0
Charlton Jimerson,11,2,2,0,0,1,0,0
Miguel Batista,3,6,0,0,0,0,0,1
Félix Hernández,2,4,1,0,0,0,0,3
Jarrod Washburn,2,3,1,0,0,0,1,1
Jeff Weaver,2,3,0,0,0,0,0,0
Eric O'Flaherty,4,1,0,0,0,0,0,1
Cha-Seung Baek,1,1,0,0,0,0,0,1
J.J. Putz,4,0,0,0,0,0,0,0
Chris Reitsma,1,0,0,0,0,0,0,0
Brandon Morrow,4,0,0,0,0,0,0,0
George Sherrill,4,0,0,0,0,0,0,0
Sean Green,6,0,0,0,0,0,0,0
Ryan Feierabend,1,0,0,0,0,0,0,0
Jason Davis,5,0,0,0,0,0,0,0
Jake Woods,1,0,0,0,0,0,0,0
