Name,G,PA,H,2B,3B,HR,BB,SO
Dan Wilson,115,394,106,16,1,6,18,81
John Olerud,154,668,166,39,0,22,98,66
Bret Boone,155,675,169,34,3,24,53,102
Carlos Guillén,134,528,124,24,6,9,46,91
Jeff Cirillo,146,547,121,20,0,6,31,67
Mark McLemore,104,407,91,17,2,7,61,63
Mike Cameron,158,640,130,26,5,25,79,176
Ichiro Suzuki,157,728,208,27,8,8,68,62
Edgar Martínez,97,407,91,23,0,15,67,69
Rubén Sierra,122,452,113,23,0,13,31,66
Desi Relaford,112,376,88,13,2,6,33,51
Ben Davis,80,253,59,10,1,7,18,58
Charles Gipson,79,84,17,5,2,0,9,14
José Offerman,29,51,11,2,1,1,4,9
Willie Bloomquist,12,38,15,4,0,0,5,2
Chris Snelling,8,29,4,0,0,1,2,4
Luis Ugueto,62,25,5,0,0,1,2,8
Scott Podsednik,14,25,4,0,0,1,4,6
Pat Borders,4,4,2,1,0,0,0,1
Gene Kingsale,2,3,2,0,0,0,0,0
Ron Wright,1,3,0,0,0,0,0,1
Joel Piñeiro,2,7,1,0,0,0,0,2
Freddy García,2,7,2,1,0,0,0,1
Jamie Moyer,2,5,1,0,0,0,0,2
Rafael Soriano,3,4,0,0,0,0,0,1
James Baldwin,1,2,1,0,0,0,0,0
Ryan Franklin,4,0,0,0,0,0,0,0
Kazuhiro Sasaki,3,0,0,0,0,0,0,0
Arthur Rhodes,2,0,0,0,0,0,0,0
John Halama,3,0,0,0,0,0,0,0
Shigetoshi Hasegawa,4,0,0,0,0,0,0,0
Julio Mateo,1,0,0,0,0,0,0,0
