Name,G,PA,H,2B,3B,HR,BB,SO
Dan Wilson,96,337,76,15,2,4,15,52
John Olerud,152,634,145,35,0,10,84,67
Bret Boone,159,705,183,35,5,35,68,125
Carlos Guillén,109,451,107,19,3,7,52,64
Jeff Cirillo,87,293,53,11,0,2,24,32
Randy Winn,157,660,177,37,4,11,41,108
Mike Cameron,147,612,135,31,5,18,70,137
Ichiro Suzuki,159,725,212,29,8,13,36,69
Edgar Martínez,145,603,146,25,0,24,92,95
Mark McLemore,99,352,72,15,2,2,38,71
Ben Davis,80,269,58,18,0,6,18,61
Willie Bloomquist,89,220,49,7,2,1,19,39
Rey Sánchez,46,186,50,5,1,0,8,21
John Mabry,64,122,22,6,0,3,15,21
Greg Colbrunn,22,62,16,1,1,3,4,16
Pat Borders,12,15,2,1,0,0,1,5
Luis Ugueto,12,6,1,0,0,0,1,0
Jamal Strong,12,2,0,0,0,0,0,0
Chad Meyers,9,1,0,0,0,0,0,0
Jamie Moyer,2,6,2,0,0,0,0,1
Freddy García,1,5,1,0,0,0,0,0
Ryan Franklin,2,5,1,0,0,0,0,1
Gil Meche,2,5,1,0,0,0,0,1
Joel Piñeiro,2,5,0,0,0,0,0,3
Kazuhiro Sasaki,2,0,0,0,0,0,0,0
Rafael Soriano,1,0,0,0,0,0,0,0
Arthur Rhodes,4,0,0,0,0,0,0,0
Jeff Nelson,4,0,0,0,0,0,0,0
Julio Mateo,1,0,0,0,0,0,0,0
Matt White,1,0,0,0,0,0,0,0
Shigetoshi Hasegawa,3,0,0,0,0,0,0,0
Giovanni Carrara,1,0,0,0,0,0,0,0
