Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Robbie Ray,32,189.0,3.71,1.19,10.1,2.95,1.52
Logan Gilbert,32,185.2,3.2,1.18,8.46,2.38,0.92
Marco Gonzales,32,183.0,4.13,1.333,5.07,2.46,1.48
George Kirby,25,130.0,3.39,1.208,9.21,1.52,0.9
Chris Flexen,22,137.2,3.73,1.329,6.23,3.35,1.12
