Name,G,PA,H,2B,3B,HR,BB,SO
Dan Wilson,123,408,100,20,1,10,20,69
John Olerud*,159,679,173,32,1,21,94,70
Bret Boone,158,690,206,37,3,37,40,110
Carlos GuillÃ©n#,140,523,118,21,4,5,53,89
David Bell,135,510,122,28,0,15,28,59
Al Martin*,100,324,68,15,2,7,37,59
Mike Cameron,150,633,144,30,5,25,69,155
Ichiro Suzuki*,157,738,242,34,8,8,30,53
Edgar MartÃ­nez,132,581,144,40,1,23,93,90
Mark McLemore#,125,487,117,16,9,5,69,84
Stan Javier#,89,323,82,14,1,4,36,47
Tom Lampkin*,79,231,46,10,0,5,18,41
Ed Sprague,45,107,28,7,0,2,11,18
Charles Gipson,94,72,14,2,2,0,4,20
Jay Buhner,19,53,10,2,0,2,8,9
RamÃ³n VÃ¡zquez*,17,37,8,0,0,0,0,3
Anthony Sanders,9,19,3,2,0,0,2,3
Gene Kingsale#,10,18,5,0,0,0,2,2
Pat Borders,5,7,3,0,0,0,0,1
Scott Podsednik*,5,6,1,0,1,0,0,1
Freddy GarcÃ­a,2,9,1,0,0,0,0,4
Aaron Sele,3,8,1,0,0,0,0,0
Paul Abbott,2,5,1,0,0,0,0,1
Jamie Moyer*,1,2,0,0,0,0,0,0
John Halama*,1,2,0,0,0,0,0,0
JosÃ© Paniagua,3,1,0,0,0,0,0,0
Arthur Rhodes*,3,1,0,0,0,0,0,1
Jeff Nelson,3,0,0,0,0,0,0,0
Kazuhiro Sasaki,3,0,0,0,0,0,0,0
Norm Charlton#,1,0,0,0,0,0,0,0
Ryan Franklin,2,0,0,0,0,0,0,0
Brian Fuentes*,1,0,0,0,0,0,0,0
