Name,G,PA,H,2B,3B,HR,BB,SO
Cal Raleigh,159,705,147,24,0,60,97,188
Josh Naylor,54,210,58,10,0,9,11,34
Cole Young,77,257,47,7,1,4,28,47
J.P. Crawford,157,654,151,24,0,12,74,122
Ben Williamson,85,295,70,13,0,1,15,64
Randy Arozarena,160,709,146,32,1,27,64,191
Julio Rodríguez,160,710,174,31,4,32,44,152
Dominic Canzone,82,269,73,11,0,11,20,59
Jorge Polanco,138,524,125,30,0,26,42,82
Mitch Garver,87,290,53,5,1,9,30,80
Eugenio Suárez,53,220,38,9,0,13,17,79
Luke Raley,73,219,37,8,0,4,19,64
Dylan Moore,88,213,37,5,0,9,19,76
Rowdy Tellez,62,185,36,6,0,11,8,49
Donovan Solano,69,176,41,4,1,3,8,38
Miles Mastrobuoni,76,175,38,4,0,1,17,29
Víctor Robles,32,114,26,4,1,1,3,26
Leo Rivas,48,111,22,2,0,2,20,24
Leody Taveras,28,98,16,3,0,2,3,27
Ryan Bliss,11,39,7,1,0,1,4,11
Rhylan Thomas,3,10,1,1,0,0,1,0
Samad Taylor,4,9,1,0,0,0,0,1
Harry Ford,8,8,1,0,0,0,0,3
Emerson Hancock,1,0,0,0,0,0,0,0
Zach Pop,1,0,0,0,0,0,0,0
Trent Thornton,1,0,0,0,0,0,0,0
José Castillo,1,0,0,0,0,0,0,0
Casey Legumina,1,0,0,0,0,0,0,0
