Name,GS,IP,ERA,WHIP,K9,BB9,HR9
Jarrod Washburn,32,193.2,4.32,1.384,5.31,3.12,1.07
Miguel Batista,32,193.0,4.29,1.523,6.2,3.96,0.84
Félix Hernández,30,190.1,3.92,1.377,7.81,2.51,0.95
Jeff Weaver,27,146.2,6.2,1.534,4.92,2.15,1.42
Horacio Ramírez,20,98.0,7.16,1.847,3.67,3.86,1.19
