Name,G,PA,H,2B,3B,HR,BB,SO
Larry Cox,100,324,63,11,3,4,22,39
Bruce Bochte,150,636,175,38,6,16,67,64
Julio Cruz,107,483,112,16,2,1,62,61
Mario Mendoza,148,401,74,10,3,1,9,62
Dan Meyer,144,571,146,21,7,20,29,35
Tom Paciorek,103,349,89,23,4,6,28,62
Ruppert Jones,162,716,166,29,9,21,85,78
Leon Roberts,140,518,122,24,6,15,56,64
Willie Horton,162,696,180,19,5,29,42,112
Larry Milbourne,123,379,99,13,4,2,19,20
Bob Stinson,95,296,60,8,0,6,33,38
Joe Simpson,120,284,75,11,0,2,11,21
Bill Stein,88,276,62,9,2,7,17,28
Bobby Valentine,62,122,27,6,0,0,22,5
John Hale,54,77,14,3,0,2,12,26
Rod Craig,16,53,20,8,1,0,1,5
Charlie Beamon,27,25,5,1,0,0,0,5
Juan Bernhardt,1,1,1,0,0,0,0,0
Shane Rawley,2,0,0,0,0,0,0,0
Byron McLaughlin,1,0,0,0,0,0,0,0
