Name,G,PA,H,2B,3B,HR,BB,SO
Cal Raleigh,153,628,120,16,0,34,70,176
Ty France,88,340,67,14,0,8,28,83
Jorge Polanco,118,469,89,11,0,16,46,137
J.P. Crawford,105,451,79,16,2,9,52,102
Josh Rojas,142,476,95,19,2,8,46,108
Randy Arozarena,54,239,46,14,0,5,28,68
Julio Rodríguez,143,613,155,17,0,20,38,156
Mitch Haniger,121,423,79,12,0,12,40,126
Mitch Garver,114,430,63,17,0,15,53,133
Luke Raley,137,455,98,19,2,22,27,135
Dylan Moore,135,441,74,23,4,10,53,123
Víctor Robles,77,262,75,20,0,4,16,44
Justin Turner,48,190,42,7,0,5,20,35
Dominic Canzone,67,188,33,7,0,8,18,53
Luis Urías,41,109,18,7,0,4,9,34
Leo Rivas,43,86,17,1,1,0,10,24
Ryan Bliss,33,71,14,3,1,2,5,22
Tyler Locklear,16,49,7,1,0,2,3,20
Seby Zavala,18,43,6,2,0,1,3,16
Jonatan Clase,19,43,8,1,0,0,2,14
Jason Vosler,10,30,5,1,1,0,2,9
Sam Haggerty,8,16,1,0,0,0,1,4
Cade Marlowe,8,9,2,0,0,0,1,1
Samad Taylor,3,5,2,0,0,0,0,1
Luis Castillo,1,1,0,0,0,0,0,1
Ryne Stanek,1,0,0,0,0,0,0,0
Trent Thornton,1,0,0,0,0,0,0,0
Austin Voth,1,0,0,0,0,0,0,0
Mike Baumann,1,0,0,0,0,0,0,0
